         1332000 function calls (1297564 primitive calls) in 2.932 seconds

   Ordered by: cumulative time
   List reduced from 5314 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.156    0.156 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\__init__.py:1(<module>)
      948    0.015    0.000    0.151    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
        1    0.000    0.000    0.144    0.144 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\frame.py:1(<module>)
        1    0.000    0.000    0.140    0.140 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\arrays\__init__.py:1(<module>)
      948    0.134    0.000    0.134    0.000 {built-in method marshal.loads}
      890    0.002    0.000    0.132    0.000 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\urls\resolvers.py:131(__get__)
        1    0.000    0.000    0.130    0.130 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\site-packages\openpyxl\worksheet\worksheet.py:1(<module>)
      885    0.002    0.000    0.128    0.000 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\urls\resolvers.py:334(_compile)
      636    0.002    0.000    0.127    0.000 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\re\_compiler.py:576(_code)
      636    0.003    0.000    0.119    0.000 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\re\_parser.py:970(parse)
 1355/636    0.006    0.000    0.114    0.000 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\re\_parser.py:451(_parse_sub)
 1728/658    0.043    0.000    0.110    0.000 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\re\_parser.py:511(_parse)
     3841    0.003    0.000    0.108    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     1553    0.040    0.000    0.108    0.000 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\utils\regex_helper.py:41(normalize)
     3877    0.106    0.000    0.106    0.000 {built-in method nt.stat}
 2655/636    0.022    0.000    0.106    0.000 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\re\_compiler.py:37(_compile)
        1    0.000    0.000    0.103    0.103 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\generic.py:1(<module>)
    15/10    0.000    0.000    0.103    0.010 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\query.py:1879(_fetch_all)
        1    0.000    0.000    0.101    0.101 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\arrays\arrow\__init__.py:1(<module>)
       15    0.000    0.000    0.098    0.007 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\query.py:85(__iter__)
        1    0.000    0.000    0.097    0.097 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\site-packages\pandas\core\arrays\arrow\array.py:1(<module>)
       10    0.000    0.000    0.094    0.009 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\site-packages\django\db\models\sql\compiler.py:1532(execute_sql)
        1    0.000    0.000    0.090    0.090 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\site-packages\openpyxl\packaging\manifest.py:1(<module>)
      2/1    0.000    0.000    0.090    0.090 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\mimetypes.py:72(__init__)
        1    0.000    0.000    0.089    0.089 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\mimetypes.py:387(init)
     6892    0.060    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
        1    0.000    0.000    0.089    0.089 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\__init__.py:1(<module>)
1014/1007    0.003    0.000    0.089    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.089    0.089 C:\Users\Usuario\AppData\Local\Programs\Python\Python313\Lib\mimetypes.py:252(read_windows_registry)


